"","X.IncMSE","IncNodePurity"
"V1",14.9996304923476,59.502499721862
"V2",10.6435023862673,37.9134870452333
"V3",13.1590842512592,41.0736183826287
"V4",1.75092662911539,17.2516307261295
"V5",3.72315111742442,27.142912722252
"V6",6.76170437414105,39.2078069873884
"V7",6.57167720810986,28.6071624716448
"V8",9.19426360721456,46.3901823747646
"V9",4.72369792151379,12.3036662630765
"V10",14.7578982423094,50.9875851116876
"V11",34.4351167090453,612.192909009799
"V12",26.765393405612,427.486787920072
"V13",27.0091395609271,244.501838883644
"V14",28.9867664344148,452.041123142926
"V15",21.5420041481567,150.048671096045
"V16",13.689170425349,63.3144837130334
"V17",10.9539442309913,55.4479293199284
"V18",7.64016068970407,57.2699302395864
"V19",4.06076360486584,10.7539134563165
"V20",1.26275735144518,11.6536237123073
"V21",8.40839593481795,38.6524229937924
